num,open,high,low,close,Volume,ma5,ma10,ma20,ma60,ma120,gain,loss,sumgain,sumloss,avggain,avgloss,rs,rsi,EMA12,EMA26,macd
9901,48458.54,48528.9,48379.13,48476.26,308099535,48487.03,48530.025,47953.109,47824.16467,47167.72175,0,17.72,1297.56,689.56,101.7233061,54.04347745,1.882249458,65.30487681,48242.30405,48221.91817,20.38588111
9900,48379.38,48544,48326,48458.54,304233798.9,48527.658,48476.014,47893.462,47815.99917,47148.64225,0,79.16,1139.92,768.72,94.45735569,55.83751477,1.691646845,62.84802362,48263.39265,48252.45782,10.93483387
9899,48384.34,48686.29,48256,48379.37,747460811.9,48576.102,48402.576,47855.493,47807.87417,47117.44067,4.96,0,1144.88,629.32,88.06468742,51.84912086,1.698479858,62.94209878,48281.99994,48272.35172,9.648221254
9898,48594.04,48659.89,48321,48383.15,397730521.1,48617.92,48323.168,47812.8255,47803.23733,47088.10567,209.7,0,1282.82,629.32,96.75292404,48.14561223,2.00958965,66.77287882,48330.0061,48305.11402,24.89208465
9897,48618.85,48700.36,48550.51,48594.04,187587982,48632.266,48202.953,47757.619,47797.67,47055.62583,24.81,0,963.56,629.32,91.61414375,44.70663993,2.049229016,67.20482474,48374.44362,48351.40195,23.04167847
9896,48661.68,48850,48501.81,48618.84,463304780.5,48573.02,48071.379,47689.4765,47789.70617,47021.52733,42.83,0,1006.39,396.34,88.12956205,41.5133085,2.122923111,67.97871852,48418.63384,48395.72039,22.91344303
9895,48621.6,48768.63,48572,48661.69,324109743.3,48424.37,47902.508,47630.101,47777.17783,46986.12467,0,40.08,1006.39,269.79,81.83459333,41.41092932,1.976159305,66.39964809,48449.8594,48433.66837,16.19103299
9894,48593.43,48733.98,48510,48621.6,337633532.5,48229.05,47767.452,47569.8495,47767.7275,46951.682,0,28.17,920.8,297.96,75.98926524,40.46514866,1.877894133,65.25237017,48471.94718,48460.49426,11.45292535
9893,48665.77,48757.41,48482.76,48593.43,602655134.2,48028.416,47605.834,47513.313,47758.00867,46920.34375,72.34,0,691.49,297.96,75.72860344,37.5747809,2.01541038,66.83701805,48501.76608,48486.30443,15.46164909
9892,48322.62,48792,48269.9,48665.76,927421519.4,47773.64,47489.157,47466.1975,47746.59667,46887.929,0,343.15,665.9,641.11,70.31941748,59.40158226,1.183797044,54.20819884,48474.20514,48488.496,-14.29085533
